country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
LBN,2015,1976,39,1171.1999925226,6.6000000089407,0.00563524594525077,1989
LBN,2015,1976,39,817.600000653418,6.6000000089407,0.00563524594525077,1990
LBN,2015,1976,39,1153.63333682716,853.30000467971,0.468392471197282,1991
LBN,2015,1976,39,1357.27499910444,853.30000467971,0.468392471197282,1992
LBN,2015,1976,39,1697.19999940246,1395.60000561923,0.582709923715945,1993
LBN,2015,1976,39,2699.51999421865,3022.86666219433,0.84437984659386,1994
LBN,2015,1976,39,5033.5799826175,5288.09998454898,0.88224444587247,1995
LBN,2015,1976,39,5522.85998002291,5523.0999805685,0.803947787178542,1996
LBN,2015,1976,39,6259.39997209758,5522.87997342496,0.838596124496465,1997
LBN,2015,1976,39,7266.339967075,6061.91997323482,0.804247471718018,1998
LBN,2015,1976,39,7746.75996177197,6728.45996721088,0.837643122484552,1999
LBN,2015,1976,39,5983.45996935368,4430.41997657269,0.674258221373612,2000
LBN,2015,1976,39,5996.99996847808,4536.43997465521,0.696759898628905,2001
LBN,2015,1976,39,6550.67998366803,5073.03999028355,0.696231319407437,2002
LBN,2015,1976,39,6428.05998958051,5526.01998987645,0.767289411182005,2003
LBN,2015,1976,39,6410.09998891205,5488.15999057144,0.764857293264848,2004
LBN,2015,1976,39,6904.03999001682,6219.55998594612,0.875963529808544,2005
LBN,2015,1976,39,7943.31999053359,7087.07998835892,0.887326088864908,2006
LBN,2015,1976,39,8875.6999958247,7648.68000169694,0.860795821870644,2007
LBN,2015,1976,39,7546.73999796957,6244.66000242233,0.762621063565382,2008
LBN,2015,1976,39,6694.06001493037,5184.56001692712,0.702616128608591,2009
LBN,2015,1976,39,6443.78001867236,4716.58002659678,0.639971319747822,2010
LBN,2015,1976,39,6836.86001633108,4223.42002070993,0.570187490056269,2011
LBN,2015,1976,39,5368.82000604271,2457.54000640065,0.477878813201818,2012
LBN,2015,1976,39,6596.21999761462,3052.60000258684,0.474497233465689,2013
LBN,2015,1976,39,7187.34999163076,3132.92499933019,0.431762040821631,2014
LBN,2015,1976,39,8071.09998453407,3540.33332455903,0.43527576223943,2015
LBR,2015,1980,35,49.8777781439326,,,1980
LBR,2015,1980,35,58.8333337604564,,,1981
LBR,2015,1980,35,58.8333337604564,,,1982
LBR,2015,1980,35,78.4000005671795,,,1983
LBR,2015,1980,35,95.866667503404,,,1984
LBR,2015,1980,35,85.700000610028,,,1985
LBR,2015,1980,35,,,,1986
LBR,2015,1980,35,292.999999284745,,,1987
LBR,2015,1980,35,292.999999284745,,,1988
LBR,2015,1980,35,1041.54999835044,,,1989
LBR,2015,1980,35,1158.76666963597,,,1990
LBR,2015,1980,35,1021.09999955818,,,1991
LBR,2015,1980,35,1220.22500092909,,,1992
LBR,2015,1980,35,1049.28000026941,,,1993
LBR,2015,1980,35,845.780003246664,,,1994
LBR,2015,1980,35,632.580001094937,,,1995
LBR,2015,1980,35,738.560003350675,,,1996
LBR,2015,1980,35,606.680002458394,,,1997
LBR,2015,1980,35,701.140001617372,,,1998
LBR,2015,1980,35,710.539997583628,,,1999
LBR,2015,1980,35,737.659997545183,,,2000
LBR,2015,1980,35,565.919997024536,148.799998298287,0.532760470331785,2001
LBR,2015,1980,35,512.439997032284,148.799998298287,0.532760470331785,2002
LBR,2015,1980,35,415.619998517632,148.799998298287,0.532760470331785,2003
LBR,2015,1980,35,421.060000921785,148.799998298287,0.532760470331785,2004
LBR,2015,1980,35,399.880000174045,148.799998298287,0.532760470331785,2005
LBR,2015,1980,35,544.219999377428,,,2006
LBR,2015,1980,35,866.379994939267,,,2007
LBR,2015,1980,35,1543.99999645352,,,2008
LBR,2015,1980,35,2212.76000193953,,,2009
LBR,2015,1980,35,2193.40000235289,,,2010
LBR,2015,1980,35,2425.36000030786,,,2011
LBR,2015,1980,35,2278.76000139862,576.999996572733,0.554541091458308,2012
LBR,2015,1980,35,2712.91999899,576.999996572733,0.554541091458308,2013
LBR,2015,1980,35,2343.49999084137,576.999996572733,0.554541091458308,2014
LBR,2015,1980,35,3037.96665459374,576.999996572733,0.554541091458308,2015
LBY,2015,1976,39,1125.93331970771,,,1976
LBY,2015,1976,39,1094.92499092221,,,1977
LBY,2015,1976,39,886.93999273777,,,1978
LBY,2015,1976,39,1027.95999882221,,,1979
LBY,2015,1976,39,1252.41999930143,,,1980
LBY,2015,1976,39,834.980000627042,,,1981
LBY,2015,1976,39,688.599999713898,,,1982
LBY,2015,1976,39,726.739999103546,,,1983
LBY,2015,1976,39,457.325000405313,,,1984
LBY,2015,1976,39,163.675000190735,,,1985
LBY,2015,1976,39,154.374998688698,,,1986
LBY,2015,1976,39,555.87499764189,,,1987
LBY,2015,1976,39,565.324999552219,,,1988
LBY,2015,1976,39,1170.31998732984,,,1989
LBY,2015,1976,39,1459.53998595476,,,1990
LBY,2015,1976,39,2095.23998169601,,,1991
LBY,2015,1976,39,2042.57998390943,,,1992
LBY,2015,1976,39,2070.65998314619,,,1993
LBY,2015,1976,39,1684.71999318004,,,1994
LBY,2015,1976,39,1527.53999465257,,,1995
LBY,2015,1976,39,956.660000267625,,,1996
LBY,2015,1976,39,1077.2199958846,,,1997
LBY,2015,1976,39,1254.11999525577,,,1998
LBY,2015,1976,39,1131.27999579311,,,1999
